Rank,Mark,WIND,Competitor,DOB,Nat,Pos,Unnamed: 7,Venue,Date,Results Score,Year,Mark_Sec
7261,2:00.76,,Nina MORGUNOVA,21 APR 1951,URS,6,,"Stadio Olimpico, Roma (ITA)",1974-09-04,1149,1974,120.76
7261,2:00.76,,Ursula HOOK,17 AUG 1957,FRG,1,,Stuttgart (GER),1979-08-11,1149,1979,120.76
7261,2:00.76,,Natalya DUKHNOVA,16 JUL 1966,BLR,2,,Paris-St-Denis (FRA),1994-06-10,1149,1994,120.76
7261,2:00.76,,Alisa HILL-HARVEY,16 SEP 1965,USA,3,,"Atlanta, GA (USA)",1996-05-18,1149,1996,120.76
7261,2:00.76,,Amy WICKUS,25 JUN 1972,USA,4,,Stuttgart (GER),1997-07-13,1149,1997,120.76
7261,2:00.76,,Yuanping WANG,08 DEC 1976,CHN,h,,Shanghai (CHN),1997-10-21,1149,1997,120.76
7261,2:00.76,,Natalya DUKHNOVA,16 JUL 1966,BLR,3,,Gent (BEL) (i),1999-02-19,1173,1999,120.76
7261,2:00.76,,Heike MEISSNER,29 JAN 1970,GER,4,,Nürnberg (GER),1999-06-13,1149,1999,120.76
7261,2:00.76,,Yelena AFANASYEVA,01 MAR 1967,RUS,h,,Tula (RUS),1999-07-29,1149,1999,120.76
7261,2:00.76,,Olena BUZHENKO-SERGEYEVA,16 NOV 1972,UKR,5,,Stockholm (SWE),1999-07-30,1149,1999,120.76
7261,2:00.76,,Yuliya KREVSUN,08 DEC 1980,UKR,2,,Kyiv (UKR),2002-05-25,1149,2002,120.76
7261,2:00.76,,Diane CUMMINS,19 JAN 1974,CAN,4,,London (GBR),2002-08-23,1149,2002,120.76
7261,2:00.76,,Esther DESVIAT,27 JAN 1982,ESP,6,,"Stade Olympique de la Pontaise, Lausanne (SUI)",2003-07-01,1149,2003,120.76
7261,2:00.76,,Tamara TVERDOSTUP,17 JUL 1979,UKR,2,,Yalta (UKR),2004-07-04,1149,2004,120.76
7261,2:00.76,,Irina VASHENTSEVA,30 SEP 1980,RUS,6,,Sevilla (ESP),2005-06-04,1149,2005,120.76
7261,2:00.76,,Ewelina SĘTOWSKA-DRYK,05 MAR 1980,POL,2f1,,Warszawa (POL),2008-06-15,1149,2008,120.76
7261,2:00.76,,Monika GRADZKI-MERL,21 SEP 1979,GER,3,,Jerez de la Frontera (ESP),2008-06-24,1149,2008,120.76
7261,2:00.76,,Jennifer MEADOWS,17 APR 1981,GBR,1,,"Stadion Juliska, Praha (CZE)",2009-06-08,1149,2009,120.76
7261,2:00.76,,Nataliya LUPU,04 NOV 1987,UKR,3,,Liège (BEL),2010-07-13,1149,2010,120.76
7261,2:00.76,,Renata PLIŚ,05 FEB 1985,POL,6,,"Olympiastadion, Berlin (GER)",2010-08-22,1149,2010,120.76
7261,2:00.76,,Anastasiya VOLODKINA,15 JUL 1988,RUS,4,,Moskva (RUS) (i),2011-02-17,1173,2011,120.76
7261,2:00.76,,Yvonne HAK,30 JUN 1986,NED,4,,"FBK Stadium, Hengelo (NED)",2011-05-29,1149,2011,120.76
7261,2:00.76,,Marina POSPELOVA,23 JUL 1990,RUS,2h1,,Cheboksary (RUS),2011-07-21,1149,2011,120.76
7261,2:00.76,,Melissa BISHOP-NRIAGU,05 AUG 1988,CAN,2,,Ponce (PUR),2012-05-12,1149,2012,120.76
7261,2:00.76,,Winny CHEBET,20 DEC 1990,KEN,3,,"Crystal Palace, London (GBR)",2012-07-14,1149,2012,120.76
7261,2:00.76,,Maryam Yusuf JAMAL,16 SEP 1984,BRN,7,,"Stade Louis II, Monaco (MON)",2012-07-20,1149,2012,120.76
7261,2:00.76,,Natoya GOULE,30 MAR 1991,JAM,1f1,,"Baton Rouge, LA (USA)",2013-04-20,1149,2013,120.76
7261,2:00.76,,Ayvika MALANOVA,28 NOV 1992,RUS,2f3,,Yerino (RUS),2013-06-16,1149,2013,120.76
7261,2:00.76,,Sylivia Chematui CHESEBE,17 MAY 1987,KEN,3,,Nairobi (KEN),2013-06-22,1149,2013,120.76
7261,2:00.76,,Marilyn OKORO,23 SEP 1984,GBR,2,,"Alexander Stadium, Birmingham (GBR)",2013-06-30,1149,2013,120.76
7261,2:00.76,,Yekaterina KUPINA,02 FEB 1986,RUS,1sf1,,"Central Stadium, Kazan (RUS)",2013-07-08,1149,2013,120.76
7261,2:00.76,,Svetlana ROGOZINA,26 DEC 1992,RUS,5,,"Letzigrund, Zürich (SUI)",2014-08-16,1149,2014,120.76
7261,2:00.76,,Dana MECKE,20 SEP 1987,USA,4sf1,,"Hayward Field, Eugene, OR (USA)",2015-06-26,1149,2015,120.76
7261,2:00.76,,Kendra CHAMBERS,11 SEP 1990,USA,1,,Lignano Sabbiadoro (ITA),2016-07-13,1149,2016,120.76
7261,2:00.76,,Angelika CICHOCKA,15 MAR 1988,POL,1,,"Arena, Toruń (POL) (i)",2018-02-15,1173,2018,120.76
7261,2:00.76,,Rénelle LAMOTE,26 DEC 1993,FRA,5,,Montreuil (FRA),2018-06-19,1149,2018,120.76
7261,2:00.76,,Eunice Jepkoech SUM,10 APR 1988,KEN,2,,Nairobi (KEN),2018-06-23,1149,2018,120.76
7261,2:00.76,,Ajee' WILSON,08 MAY 1994,USA,1,,"Alexander Stadium, Birmingham (GBR)",2019-08-18,1149,2019,120.76
7261,2:00.76,,Cinthia ANAIS,18 JAN 1988,FRA,2f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",2020-02-14,1173,2020,120.76
7261,2:00.76,,Sabrina SOUTHERLAND,18 DEC 1995,USA,1f2,,"GCU Track & Field, Phoenix, AZ (USA)",2021-04-24,1149,2021,120.76
7261,2:00.76,,Hedda HYNNE,13 MAR 1990,NOR,3h2,,"National Stadium, Tokyo (JPN)",2021-07-30,1149,2021,120.76
7261,2:00.76,,Nia AKINS,07 JUL 1998,USA,2f1,,"Christian Brothers HS, Memphis, TN (USA)",2021-08-15,1149,2021,120.76
7261,2:00.76,,Elena BELLÒ,18 JAN 1997,ITA,4,,"Complexe Sportif Prince Moulay Abdellah, Rabat (MAR)",2022-06-05,1149,2022,120.76
7261,2:00.76,,Lore HOFFMANN,25 JUL 1996,SUI,8,,"Stadion Śląski, Chorzów (POL)",2022-08-06,1149,2022,120.76
7261,2:00.76,,Anita HORVAT,07 SEP 1996,SLO,2,,"Stadio Comunale, Bellinzona (SUI)",2022-09-12,1149,2022,120.76
7261,2:00.76,,Elena BELLÒ,18 JAN 1997,ITA,8,,"Stade Olympique de la Pontaise, Lausanne (SUI)",2023-06-30,1149,2023,120.76
7261,2:00.76,,Daily COOPER GASPAR,11 MAR 2002,CUB,1f1,,"Helmántico, Salamanca (ESP)",2024-06-01,1149,2024,120.76
7261,2:00.76,,Léna KANDISSOUNON,26 NOV 1998,FRA,1h1,,"Stadio Olimpico, Roma (ITA)",2024-06-10,1149,2024,120.76
7261,2:00.76,,Rénelle LAMOTE,26 DEC 1993,FRA,5f1,,"Paavo Nurmen Stadion, Turku (FIN)",2024-06-18,1149,2024,120.76
7310,2:00.77,,Olga DVIRNA,11 FEB 1953,URS,2,,Ciudad de México (MEX),1979-09-13,1148,1979,120.77
7310,2:00.77,,Irina NIKITINA,16 JUN 1961,URS,2,,Leningrad (URS),1982-07-16,1148,1982,120.77
7310,2:00.77,,Caroline O'SHEA,30 DEC 1960,IRL,8,,"Memorial Coliseum, Los Angeles, CA (USA)",1984-08-06,1148,1984,120.77
7310,2:00.77,,Kirsty WADE,06 AUG 1962,GBR,2,,London (GBR),1987-08-14,1148,1987,120.77
7310,2:00.77,,Julie JENKINS,12 AUG 1964,USA,2,,Bern (SUI),1988-08-23,1148,1988,120.77
7310,2:00.77,,Diane MODAHL-EDWARDS,17 JUN 1966,GBR,8,,"Olympic Stadium, Jamsil, Seoul (KOR)",1988-09-26,1148,1988,120.77
7310,2:00.77,,Christine WACHTEL,06 JAN 1965,GER,2,,Karlsruhe (GER) (i),1992-01-31,1173,1992,120.77
7310,2:00.77,,Sabine ZWIENER,05 DEC 1967,GER,7sf2,,"Gottlieb-Daimler Stadion, Stuttgart (GER)",1993-08-15,1148,1993,120.77
7310,2:00.77,,Lyubov GURINA,06 AUG 1957,RUS,1sf2,,"Olympiastadion, Helsinki (FIN)",1994-08-08,1148,1994,120.77
7310,2:00.77,,Natalya DUKHNOVA,16 JUL 1966,BLR,3,,Helsinki (FIN),1995-06-28,1148,1995,120.77
7310,2:00.77,,Petya STRASHILOVA,18 MAR 1965,BUL,1,,Budapest (HUN) (i),1996-01-27,1173,1996,120.77
7310,2:00.77,,Nouria MÉRAH-BENIDA,19 OCT 1970,ALG,6,,Hechtel (BEL),1998-08-01,1148,1998,120.77
7310,2:00.77,,Natalya TSYGANOVA,07 FEB 1971,RUS,2h1,,"Green Dome, Maebashi (JPN) (i)",1999-03-05,1173,1999,120.77
7310,2:00.77,,Irina PROKOFYEVA,13 MAR 1972,RUS,2,,Moskva (RUS),1999-06-18,1148,1999,120.77
7310,2:00.77,,Kelly HOLMES,19 APR 1970,GBR,4sf1,,"La Cartuja, Sevilla (ESP)",1999-08-22,1148,1999,120.77
7310,2:00.77,,Patricia DJATÉ-TAILLARD,03 JAN 1971,FRA,3,,Milano (ITA),2000-06-07,1148,2000,120.77
7310,2:00.77,,Natalya GORELOVA,18 APR 1973,RUS,6,,Yokohama (JPN),2000-09-09,1148,2000,120.77
7310,2:00.77,,Diane CUMMINS,19 JAN 1974,CAN,1,,Ottawa (CAN),2001-07-21,1148,2001,120.77
7310,2:00.77,,Na LIN,18 JAN 1980,CHN,1,,Guangzhou (CHN),2001-11-17,1148,2001,120.77
7310,2:00.77,,Irina VASHENTSEVA,30 SEP 1980,RUS,3,,Daegu (KOR),2003-08-30,1148,2003,120.77
7310,2:00.77,,Jennifer TOOMEY,19 DEC 1971,USA,1,,"Boston, MA (USA) (i)",2004-01-31,1173,2004,120.77
7310,2:00.77,,Mayte MARTÍNEZ,17 MAY 1976,ESP,1,,Valencia (ESP) (i),2004-02-22,1173,2004,120.77
7310,2:00.77,,Susan SCOTT,26 SEP 1977,GBR,1,,Watford (GBR),2004-06-12,1148,2004,120.77
7310,2:00.77,,Brigita LANGERHOLC,23 JUL 1976,SLO,8f1,,"Stadio Olimpico, Roma (ITA)",2004-07-02,1148,2004,120.77
7310,2:00.77,,Zulia CALATAYUD,09 NOV 1979,CUB,1h2,,"Olympiastadion, Helsinki (FIN)",2005-08-06,1148,2005,120.77
7310,2:00.77,,Hasna BENHASSI,01 JUN 1978,MAR,2h2,,"Olympiastadion, Helsinki (FIN)",2005-08-06,1148,2005,120.77
7310,2:00.77,,Maryam Yusuf JAMAL,16 SEP 1984,BRN,10,,Zürich (SUI),2006-08-18,1148,2006,120.77
7310,2:00.77,,Svetlana KLYUKA,27 DEC 1978,RUS,1,,Zagreb (CRO),2006-08-31,1148,2006,120.77
7310,2:00.77,,Neisha BERNARD-THOMAS,21 JAN 1981,GRN,4,,"Icahn Stadium, New York, NY (USA)",2007-06-02,1148,2007,120.77
7310,2:00.77,,Svetlana USOVICH,14 OCT 1980,BLR,8,,"Stadio Olimpico, Roma (ITA)",2007-07-13,1148,2007,120.77
7310,2:00.77,,Marian BURNETT,22 FEB 1976,GUY,1,,Lignano (ITA),2007-07-15,1148,2007,120.77
7310,2:00.77,,Alysia MONTAÑO,23 APR 1986,USA,1,,"Northridge, CA (USA)",2008-05-31,1148,2008,120.77
7310,2:00.77,,Tamara TVERDOSTUP,17 JUL 1979,UKR,4f1,,Yalta (UKR),2009-06-04,1148,2009,120.77
7310,2:00.77,,Kenia SINCLAIR,14 JUL 1980,JAM,2,,Heusden-Zolder (BEL),2009-07-18,1148,2009,120.77
7310,2:00.77,,Neisha BERNARD-THOMAS,21 JAN 1981,GRN,1f1,,"Baton Rouge, LA (USA)",2010-04-17,1148,2010,120.77
7310,2:00.77,,Nataliya LUPU,04 NOV 1987,UKR,1,,"Wattenscheid, Bochum (GER)",2010-06-26,1148,2010,120.77
7310,2:00.77,,Janeth JEPKOSGEI,13 DEC 1983,KEN,1,,Arzana (ITA),2010-09-07,1148,2010,120.77
7310,2:00.77,,Joanna JÓŹWIK,30 JAN 1991,POL,7,,"Hayward Field, Eugene, OR (USA)",2017-05-27,1148,2017,120.77
7310,2:00.77,,Mahlet MULUGETA,20 MAR 1995,ETH,2,,"FBK Stadium, Hengelo (NED)",2017-06-10,1148,2017,120.77
7310,2:00.77,,Esther GUERRERO,07 FEB 1990,ESP,5,,"Moratalaz, Madrid (ESP)",2017-07-14,1148,2017,120.77
7310,2:00.77,,Christina HERING,09 OCT 1994,GER,5,,Bellinzona (SUI),2017-07-18,1148,2017,120.77
7310,2:00.77,,Tatyana VINOGRADOVA,09 DEC 1988,RUS,1h1,,Zhukovskiy (RUS),2017-07-28,1148,2017,120.77
7310,2:00.77,,Agnes ABU,01 MAY 1992,GHA,3f1,,"Nashville, TN (USA)",2018-06-02,1148,2018,120.77
7310,2:00.77,,Jemma REEKIE,06 MAR 1998,GBR,1,,"FBK Stadium, Hengelo (NED)",2021-06-06,1148,2021,120.77
7310,2:00.77,,Sage HURTA-KLECKER,23 JUN 1998,USA,2,,"Icahn Stadium, New York, NY (USA)",2023-06-24,1148,2023,120.77
7310,2:00.77,,Naomi KORIR,01 SEP 1998,KEN,5f1,,"Stadion De Veen, Heusden-Zolder (BEL)",2023-07-15,1148,2023,120.77
7310,2:00.77,,Flavia Maria DE LIMA,01 JUL 1993,BRA,8sf1,,"Nemzeti Atlétikai Központ, Budapest (HUN)",2023-08-25,1148,2023,120.77
7357,2:00.78,,Lilyana TOMOVA,09 AUG 1946,BUL,2,,Athina (GRE),1976-07-01,1148,1976,120.78
7357,2:00.78,,Olga DVIRNA,11 FEB 1953,URS,1h1,,Ciudad de México (MEX),1979-09-08,1148,1979,120.78
7357,2:00.78,,Laima JUKAVICIENĖ,15 JUL 1957,URS,h,,Moskva (URS),1983-06-10,1148,1983,120.78
7357,2:00.78,,Brit MCROBERTS-LIND PETERSEN,10 FEB 1957,CAN,2,,Bruxelles (BEL),1983-08-26,1148,1983,120.78
7357,2:00.78,,Lorraine BAKER,09 APR 1964,GBR,4,,Oslo (NOR),1984-06-28,1148,1984,120.78
7357,2:00.78,,Yvonne MURRAY,04 OCT 1964,GBR,3,,Stockholm (SWE),1989-07-03,1148,1989,120.78
7357,2:00.78,,Ella KOVÁCS,11 DEC 1964,ROU,1,,Karlsruhe (GER) (i),1991-02-24,1173,1991,120.78
7357,2:00.78,,Joetta CLARK,01 AUG 1962,USA,2,,"New York, NY (USA) (i)",1997-02-07,1173,1997,120.78
7357,2:00.78,,Anna JAKUBCZAK,02 FEB 1973,POL,1,,Sopot (POL),1999-05-29,1148,1999,120.78
7357,2:00.78,,Malin EWERLÖF,02 JUN 1972,SWE,3,,Helsinki (FIN),1999-06-10,1148,1999,120.78
7357,2:00.78,,Luciana de Paula MENDES,26 JUL 1971,BRA,2,,Zagreb (CRO),2000-07-03,1148,2000,120.78
7357,2:00.78,,Diane CUMMINS,19 JAN 1974,CAN,4,,"Eugene, OR (USA)",2001-05-27,1148,2001,120.78
7357,2:00.78,,Svetlana CHERKASOVA,20 MAY 1978,RUS,1,,Lisboa (POR),2001-06-16,1148,2001,120.78
7357,2:00.78,,Ivonne TEICHMANN,11 APR 1977,GER,4,,"Stade de France, Paris-St-Denis (FRA)",2001-07-06,1148,2001,120.78
7357,2:00.78,,Zulia CALATAYUD,09 NOV 1979,CUB,5,,"Stade de France, Paris-St-Denis (FRA)",2001-07-06,1148,2001,120.78
7357,2:00.78,,Mayte MARTÍNEZ,17 MAY 1976,ESP,2,,Liévin (FRA) (i),2002-02-24,1173,2002,120.78
7357,2:00.78,,Miho SUGIMORI,14 APR 1978,JPN,1,,Yokohama (JPN) (i),2003-02-22,1173,2003,120.78
7357,2:00.78,,Yevgeniya ZOLOTOVA,28 APR 1983,RUS,2,,Moskva (RUS),2005-06-05,1148,2005,120.78
7357,2:00.78,,Zulia CALATAYUD,09 NOV 1979,CUB,1,,"Stadio Quercia, Rovereto (ITA)",2006-08-30,1148,2006,120.78
7357,2:00.78,,Lucia KLOCOVÁ,20 NOV 1983,SVK,1,,"Stadio Quercia, Rovereto (ITA)",2006-08-30,1148,2006,120.78
7357,2:00.78,,Mariya SAVINOVA,13 AUG 1985,RUS,3,,Chelyabinsk (RUS),2007-07-14,1148,2007,120.78
7357,2:00.78,,Jemma SIMPSON,10 FEB 1984,GBR,7,,"Gottlieb-Daimler Stadion, Stuttgart (GER)",2007-09-23,1148,2007,120.78
7357,2:00.78,,Mariya SAVINOVA,13 AUG 1985,RUS,1,,Moskva (RUS) (i),2010-02-27,1173,2010,120.78
7357,2:00.78,,Alysia MONTAÑO,23 APR 1986,USA,4,,"Stade de France, Paris-St-Denis (FRA)",2011-07-08,1148,2011,120.78
7357,2:00.78,,Eunice Jepkoech SUM,10 APR 1988,KEN,3f2,,"Olympiastadion, Stockholm (SWE)",2011-07-29,1148,2011,120.78
7357,2:00.78,,Tamsyn MANOU,20 JUL 1978,AUS,4f2,,"Olympiastadion, Stockholm (SWE)",2011-07-29,1148,2011,120.78
7357,2:00.78,,Anastasiya RYEMYEN,20 APR 1993,UKR,1f3,,Yalta (UKR),2012-05-28,1148,2012,120.78
7357,2:00.78,,Lenka MASNÁ,22 APR 1985,CZE,1,,Tábor (CZE),2013-07-24,1148,2013,120.78
7357,2:00.78,,Alysia MONTAÑO,23 APR 1986,USA,1,,"Hayward Field, Eugene, OR (USA)",2016-05-27,1148,2016,120.78
7357,2:00.78,,Samantha WATSON,10 NOV 1999,USA,2,,"Somerville, MA (USA)",2017-06-02,1148,2017,120.78
7357,2:00.78,,Selina BÜCHEL,26 JUL 1991,SUI,7,,"Bislett Stadion, Oslo (NOR)",2018-06-07,1148,2018,120.78
7357,2:00.78,,Mahlet MULUGETA,20 MAR 1995,ETH,2f1,,Huelva (ESP),2018-06-08,1148,2018,120.78
7357,2:00.78,,Noélie YARIGO,26 DEC 1985,BEN,1,,"Stadion De Veen, Heusden-Zolder (BEL)",2020-09-06,1148,2020,120.78
7357,2:00.78,,Roisin WILLIS,06 AUG 2004,USA,1f2,,"Icahn Stadium, New York, NY (USA)",2021-05-21,1148,2021,120.78
7357,2:00.78,,Noélie YARIGO,26 DEC 1985,BEN,1f1,,"Stade des Maradas, Cergy-Pontoise (FRA)",2021-06-16,1148,2021,120.78
7357,2:00.78,,Laurie BARTON,13 FEB 1998,USA,1,,"Shoreline Stadium, Shoreline, WA (USA)",2022-07-06,1148,2022,120.78
7357,2:00.78,,Olivia BAKER,12 JUN 1996,USA,1f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",2023-01-28,1173,2023,120.78
7357,2:00.78,,Peninah Muthoni MUTISYA,02 FEB 2004,KEN,2,,"Nyayo National Stadium, Nairobi (KEN)",2023-06-24,1148,2023,120.78
7357,2:00.78,,Winnie NANYONDO,23 AUG 1993,UGA,1f1,,"Stade Jean Jacoby, Schifflange (LUX)",2023-07-30,1148,2023,120.78
7357,2:00.78,,Brenna DETRA,13 AUG 1995,USA,8f1,,"Rhodes College, Memphis, TN (USA)",2023-08-04,1148,2023,120.78
7357,2:00.78,,Natoya GOULE-TOPPIN,30 MAR 1991,JAM,3sf2,,"Nemzeti Atlétikai Központ, Budapest (HUN)",2023-08-25,1148,2023,120.78
7357,2:00.78,,Charlotte PIZZO,10 MAY 1997,FRA,4,,"Stade Raymond Petit, Tomblaine (FRA)",2024-05-25,1148,2024,120.78
7357,2:00.78,,Charline MATHIAS,23 MAY 1992,LUX,6sf2,,"Stadio Olimpico, Roma (ITA)",2024-06-11,1148,2024,120.78
7400,2:00.79,,Ines VOGELGESANG,27 NOV 1963,GDR,5,,Jena (GDR),1983-05-28,1148,1983,120.79
7400,2:00.79,,Birte BRUHNS,04 NOV 1970,GDR,2,,Potsdam (GDR),1990-06-13,1148,1990,120.79
7400,2:00.79,,Julie JENKINS,12 AUG 1964,USA,1,,Nyköping (SWE),1990-07-03,1148,1990,120.79
7400,2:00.79,,Sandra GASSER,27 JUL 1962,SUI,2,,Langenthal (SUI),1990-08-12,1148,1990,120.79
7400,2:00.79,,Ella KOVÁCS,11 DEC 1964,ROU,2sf1,,"The Sky Dome, Toronto (CAN) (i)",1993-03-13,1173,1993,120.79
7400,2:00.79,,Yelena AFANASYEVA,01 MAR 1967,RUS,5,,St-Denis (FRA),1998-06-04,1148,1998,120.79
7400,2:00.79,,Elena BUHĂIANU-ANTOCI,16 JAN 1975,ROU,4,,"Stade Charléty, Paris (FRA)",1999-06-19,1148,1999,120.79
7400,2:00.79,,Olena BUZHENKO-SERGEYEVA,16 NOV 1972,UKR,5,,Leverkusen (GER),1999-09-05,1148,1999,120.79
7400,2:00.79,,Zulia CALATAYUD,09 NOV 1979,CUB,2,,Leverkusen (GER),2001-08-26,1148,2001,120.79
7400,2:00.79,,Diane CUMMINS,19 JAN 1974,CAN,1,,"Portland, OR (USA)",2003-05-17,1148,2003,120.79
7400,2:00.79,,Joanne FENN,19 OCT 1974,GBR,3sf1,,"Sportaréna, Budapest (HUN) (i)",2004-03-06,1173,2004,120.79
7400,2:00.79,,Lucia KLOCOVÁ,20 NOV 1983,SVK,19sf2,,"Olympic Stadium, Athina (GRE)",2004-08-21,1148,2004,120.79
7400,2:00.79,,Svetlana KLYUKA,27 DEC 1978,RUS,1,,Sochi (RUS),2005-05-27,1148,2005,120.79
7400,2:00.79,,Seltana AIT HAMMOU,21 MAY 1980,MAR,8,,Stockholm (SWE),2005-07-26,1148,2005,120.79
7400,2:00.79,,Laetitia VALDONADO,04 AUG 1977,FRA,1,,Montgeron (FRA),2006-05-14,1148,2006,120.79
7400,2:00.79,,Elisabeth GROUSSELLE,06 FEB 1973,FRA,1,,Castres (FRA),2006-08-01,1148,2006,120.79
7400,2:00.79,,Jennifer MEADOWS,17 APR 1981,GBR,2sf2,,"National Indoor Arena, Birmingham (GBR) (i)",2007-03-03,1173,2007,120.79
7400,2:00.79,,Olesya CHUMAKOVA-MIKHEYEVA,23 JUL 1981,RUS,1,,Moskva (RUS),2007-07-04,1148,2007,120.79
7400,2:00.79,,Mihaela STĂNCESCU-NEACŞU,03 MAY 1979,ROU,3h4,,"Velódromo Luis Puig, Valencia (ESP) (i)",2008-03-07,1173,2008,120.79
7400,2:00.79,,Hazel CLARK,03 OCT 1977,USA,1,,"Eugene, OR (USA)",2009-06-28,1148,2009,120.79
7400,2:00.79,,Anna WILLARD,31 MAR 1984,USA,5f2,,Lignano Sabbiadoro (ITA),2010-07-18,1148,2010,120.79
7400,2:00.79,,Eunice Jepkoech SUM,10 APR 1988,KEN,7,,"Olympiastadion, Berlin (GER)",2010-08-22,1148,2010,120.79
7400,2:00.79,,Tintu LUKA,26 APR 1989,IND,7,,"Boudewijnstadion, Bruxelles (BEL)",2010-08-27,1148,2010,120.79
7400,2:00.79,,Eunice Jepkoech SUM,10 APR 1988,KEN,3,,Torino (ITA),2011-06-10,1148,2011,120.79
7400,2:00.79,,Rosibel GARCÍA,13 FEB 1981,COL,4sf1,,"DS, Daegu (KOR)",2011-09-02,1148,2011,120.79
7400,2:00.79,,Alice SCHMIDT,03 OCT 1981,USA,2f1,,"Los Angeles, CA (USA)",2012-05-18,1148,2012,120.79
7400,2:00.79,,Yevgeniya ZOLOTOVA,28 APR 1983,RUS,3f2,,Moskva (RUS),2012-06-11,1148,2012,120.79
7400,2:00.79,,Olha LYAKHOVA,18 MAR 1992,UKR,1f3,,Yalta (UKR),2013-06-06,1148,2013,120.79
7400,2:00.79,,Siham HILALI,02 MAY 1986,MAR,2,,Mersin (TUR),2013-06-29,1148,2013,120.79
7400,2:00.79,,Marina ARZAMASOVA,17 DEC 1987,BLR,3,,"Ergo Arena, Sopot (POL) (i)",2014-03-09,1173,2014,120.79
7400,2:00.79,,Molly LUDLOW,04 AUG 1987,USA,6,,"Bislett Stadion, Oslo (NOR)",2014-06-11,1148,2014,120.79
7400,2:00.79,,Janeth JEPKOSGEI,13 DEC 1983,KEN,5,,"Boudewijnstadion, Bruxelles (BEL)",2014-09-05,1148,2014,120.79
7400,2:00.79,,Rose Mary ALMANZA,13 JUL 1992,CUB,1,,Veracruz (MEX),2014-11-25,1148,2014,120.79
7400,2:00.79,,Jenny SIMPSON,23 AUG 1986,USA,2f2,,"Los Angeles, CA (USA)",2015-05-14,1148,2015,120.79
7400,2:00.79,,Phoebe WRIGHT,30 AUG 1988,USA,2,,"Hayward Field, Eugene, OR (USA)",2015-05-29,1148,2015,120.79
7400,2:00.79,,Winny CHEBET,20 DEC 1990,KEN,3,,Heusden-Zolder (BEL),2016-07-16,1148,2016,120.79
7400,2:00.79,,Ciara MAGEEAN,12 MAR 1992,IRL,2,,Dublin (IRL),2016-07-22,1148,2016,120.79
7400,2:00.79,,Docus AJOK,12 JUL 1994,UGA,1f1,,Huelva (ESP),2017-06-14,1148,2017,120.79
7400,2:00.79,,Olha LYAKHOVA,18 MAR 1992,UKR,3,,"Olympiastadion, Berlin (GER)",2018-08-10,1148,2018,120.79
7400,2:00.79,,Hedda HYNNE,13 MAR 1990,NOR,3,,"Letzigrund, Zürich (SUI)",2019-08-29,1148,2019,120.79
7400,2:00.79,,Kaela EDWARDS,08 DEC 1993,USA,5,,"Stadio Olimpico, Roma (ITA)",2020-09-17,1148,2020,120.79
7400,2:00.79,,Hanna GREEN,16 OCT 1994,USA,2h2,,"Hayward Field, Eugene, OR (USA)",2021-06-24,1148,2021,120.79
7400,2:00.79,,Ajee' WILSON,08 MAY 1994,USA,4sf1,,"National Stadium, Tokyo (JPN)",2021-07-31,1148,2021,120.79
7400,2:00.79,,Adelle TRACEY,27 MAY 1993,GBR,7,,"Icahn Stadium, New York, NY (USA)",2022-05-20,1148,2022,120.79
7400,2:00.79,,Anna WIELGOSZ,09 NOV 1993,POL,3h6,,"Hayward Field, Eugene, OR (USA)",2022-07-21,1148,2022,120.79
7400,2:00.79,,Lindsey BUTTERWORTH,27 SEP 1992,CAN,7,,"Alexander Stadium, Birmingham (GBR)",2022-08-06,1148,2022,120.79
7400,2:00.79,,Eveliina MÄÄTTÄNEN,01 SEP 1995,FIN,4f1,,"Stadion Śląski, Chorzów (POL)",2023-06-24,1148,2023,120.79
7400,2:00.79,,Michaela ROSE,13 JUN 2003,USA,3h3,,"Hayward Field, Eugene, OR (USA)",2023-07-06,1148,2023,120.79
7400,2:00.79,,Gabija GALVYDYTĖ,17 JAN 2000,LTU,4h3,,"Nemzeti Atlétikai Központ, Budapest (HUN)",2023-08-23,1148,2023,120.79
7400,2:00.79,,Kimberley FICENEC,23 JUL 1994,CZE,4f2,,"LAZ Wien, Wien (AUT)",2024-06-22,1148,2024,120.79
7450,2:00.80,,Olga ZHURAVLYOVA,1956,URS,13,,Leningrad (URS),1983-07-27,1148,1983,120.8
7450,2:00.80,,Ella KOVÁCS,11 DEC 1964,ROU,4,,Budapest (HUN),1985-08-04,1148,1985,120.8
7450,2:00.80,,Margrit KLINGER,22 JUN 1960,FRG,2,,Fürth (GER),1987-06-14,1148,1987,120.8
7450,2:00.80,,Svetlana KITOVA,25 JUN 1960,URS,2,,Riga (LAT),1988-06-05,1148,1988,120.8
7450,2:00.80,,Joetta CLARK,01 AUG 1962,USA,4,,"New York, NY (USA)",1991-07-20,1148,1991,120.8
7450,2:00.80,,Diane MODAHL-EDWARDS,17 JUN 1966,GBR,1h3,,"Gottlieb-Daimler Stadion, Stuttgart (GER)",1993-08-14,1148,1993,120.8
7450,2:00.80,,Kati KOVACS,07 SEP 1973,GER,7,,Köln (GER),1994-08-21,1148,1994,120.8
